age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,past_num_of_claims,witness_present,liab_prct,police_report,age_of_vehicle,vehicle_price,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported,accident_site_Local,accident_site_Parking Lot,channel_Online,channel_Phone,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_day_of_week_Mon,claim_day_of_week_Sat,claim_day_of_week_Sun,claim_day_of_week_Thu,claim_day_of_week_Tue,claim_day_of_week_Wed,vehicle_category_Large,vehicle_category_Medium
28,0,1,49,53307.2,1,1,1,1,0,50,1,5.0,23876.17,32074.03,3456.68,500,1737.66,10.67,8,1,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
38,1,1,78,58198.4,0,0,1,0,0,50,1,3.0,17991.21,12246.52,7204.67,500,538.17,10.05,5,0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
42,0,0,92,39814.4,1,1,0,0,0,72,1,4.0,12006.56,12427.0,3388.57,2000,1273.7,9.97,4,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
23,1,1,82,20164.8,1,0,1,0,0,80,1,6.0,12224.55,24375.06,5335.46,500,1848.81,9.41,4,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
55,1,1,83,14104.0,0,1,0,0,0,69,0,4.0,12845.13,30130.72,6011.23,500,1362.87,8.53,3,1,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
44,0,0,65,160546.0,1,1,1,0,0,86,1,4.0,76566.41,30982.76,10852.37,500,1239.22,8.59,3,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
37,0,0,68,7786.0,0,1,1,0,0,51,1,5.0,34708.88,23599.4,5904.03,500,1105.49,8.55,9,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
40,0,1,77,99026.0,1,1,0,0,0,50,1,5.0,19450.26,12600.66,5891.42,1000,1425.54,9.55,2,0,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
35,0,1,63,56881.6,1,1,0,0,0,93,1,3.0,22227.22,18229.28,5429.71,1000,1038.09,9.55,3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
54,0,0,79,63856.0,1,1,0,0,0,32,1,10.0,34694.52,12470.68,8093.5,1000,1489.24,8.65,2,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True
27,1,0,36,32728.0,1,0,1,2,0,71,1,5.0,7879.24,41443.38,6794.78,2000,769.95,9.06,2,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
42,0,1,65,179808.0,0,1,1,3,0,93,1,6.0,34221.33,21670.54,4019.55,2000,1514.72,10.21,5,0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
62,1,0,90,66056.0,1,1,0,0,0,76,1,4.0,16521.38,24548.54,5001.11,500,1612.43,9.53,2,0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
34,1,1,82,16429.0,0,1,0,0,1,0,1,5.0,20504.51,44689.78,3431.85,2000,1136.83,8.16,4,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
31,0,0,94,84939.2,1,1,0,1,0,94,1,4.0,21003.68,22015.11,5270.91,2000,1322.78,8.64,3,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
44,1,0,73,60563.2,1,1,0,1,1,81,1,1.0,15002.2,15462.54,3812.9,1000,1483.25,8.54,2,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
47,0,1,44,61587.2,1,0,1,0,0,57,0,4.0,14516.13,12701.78,4627.46,500,1463.82,7.49,7,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
62,0,0,75,66012.8,0,1,0,0,0,28,1,4.0,18719.36,34051.35,3011.28,500,1497.35,9.1,5,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
32,0,0,93,55452.8,1,0,0,0,0,100,0,8.0,15699.25,9448.86,4130.14,500,1495.1,7.84,3,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
46,1,0,45,11246.0,0,1,0,1,1,34,1,2.0,25602.21,30860.12,4499.06,2000,1338.5,9.64,3,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
57,1,1,65,14693.0,1,0,1,1,0,64,1,1.0,9732.69,26752.07,5461.15,1000,1074.07,9.81,3,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
56,1,1,83,44387.0,1,1,1,0,1,27,0,3.0,10883.71,11807.94,4511.91,2000,1103.58,10.56,6,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
51,1,1,65,62905.6,0,1,1,0,1,27,0,4.0,8691.37,20342.44,5009.36,500,964.79,8.07,6,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
45,0,0,57,60889.6,0,1,0,1,0,50,1,3.0,41194.1,16502.58,2314.39,1000,1439.34,8.67,5,0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
28,1,1,83,53315.2,0,1,1,0,1,97,1,3.0,11213.12,26346.04,4432.23,1000,1198.15,8.93,2,0,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
55,0,1,93,64113.6,1,1,0,3,0,51,1,3.0,32829.03,5747.3,1882.48,500,1398.51,8.84,6,1,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
51,0,1,87,162891.2,1,0,1,2,0,99,1,4.0,31615.04,28699.25,7990.17,500,1355.08,8.55,4,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
41,0,0,66,29408.0,1,0,1,0,0,99,1,7.0,13942.05,41405.8,3996.45,500,1158.03,9.7,5,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
50,1,1,68,62593.6,1,1,0,0,1,3,1,7.0,17149.64,11575.15,3043.08,1000,1372.27,8.96,4,0,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
47,0,1,79,61592.0,1,1,0,0,0,1,1,4.0,28423.24,42880.44,6387.08,1000,1275.39,10.39,8,1,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
49,0,0,79,82292.8,0,1,0,1,1,24,1,7.0,11488.23,19754.24,6706.72,500,1344.36,7.48,3,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
33,0,1,64,95934.4,1,0,1,0,0,3,0,2.0,12267.68,13732.0,1971.47,500,1203.24,7.62,3,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
44,1,1,89,80561.6,1,1,0,0,0,21,1,3.0,49584.22,47665.79,7193.22,1000,1152.4,6.92,3,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
33,0,1,57,75953.6,1,1,1,0,0,96,1,8.0,31494.76,9692.92,7457.21,2000,1142.62,7.02,2,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
52,0,1,70,82292.8,1,1,1,0,0,14,1,8.0,28494.96,34879.35,6669.94,500,1229.16,10.05,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
41,1,1,64,80561.6,1,0,1,2,0,20,1,3.0,24455.91,32964.01,7713.19,500,1706.79,10.27,8,0,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
58,1,1,86,82292.8,0,1,0,1,0,93,0,4.0,14203.4,34878.66,3798.77,500,885.08,8.62,2,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
37,0,1,72,72593.6,1,1,1,2,0,99,1,4.0,9367.19,8871.64,8015.94,500,1046.58,8.28,3,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
63,0,0,89,66300.8,1,0,0,2,1,44,0,8.0,17901.32,52692.09,7462.86,500,1382.88,8.17,3,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,0,1,68,56873.6,1,1,0,0,1,83,0,7.0,31524.63,10721.77,2018.04,1000,1141.35,9.37,2,0,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
42,1,0,68,93347.2,1,0,0,0,1,2,1,3.0,11534.56,30124.34,2245.72,1000,986.53,8.04,3,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
48,1,1,94,80561.6,0,1,1,3,0,0,1,6.0,25215.64,17997.98,4501.84,500,1722.95,8.1,2,0,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
53,1,1,75,63524.8,1,0,0,0,0,0,0,2.0,15287.01,15750.4,3729.62,2000,1281.07,9.31,4,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
38,0,1,72,58209.6,1,0,1,0,0,56,1,6.0,13844.88,33318.57,2361.17,500,1011.92,8.2,6,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
46,0,1,74,61276.8,1,0,0,1,0,9,1,4.0,37107.89,16664.41,5422.68,500,1301.72,9.88,2,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
35,0,0,87,86892.8,1,1,0,0,0,92,0,1.0,19600.9,18686.11,5627.62,500,767.14,8.06,4,0,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
23,0,0,63,70152.0,1,1,1,0,0,73,0,4.0,25707.24,16029.71,5984.3,1000,1538.26,9.37,5,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
51,1,0,80,62929.6,1,0,0,0,1,2,1,8.0,14774.95,16085.06,2930.33,500,1314.6,8.4,3,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
52,0,0,68,63228.8,1,1,0,0,1,0,1,6.0,30100.27,20823.61,5670.1,1000,1515.18,10.76,4,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
27,1,0,87,82292.8,1,1,1,0,0,57,1,2.0,25604.8,26180.27,4214.16,1000,2047.59,9.78,4,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
80,1,1,49,72593.6,0,0,0,1,0,52,1,6.0,12946.99,19294.15,7547.32,1000,1083.72,7.05,0,0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
43,1,0,32,20169.6,1,1,0,0,0,6,0,6.0,11544.57,28746.62,3630.17,2000,1371.78,9.19,6,1,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
65,1,1,73,26795.2,0,1,0,0,1,22,0,6.0,34869.34,21577.3,7656.66,2000,932.14,8.85,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,1,0,73,58630.4,1,0,0,0,0,96,1,7.0,16738.04,27218.24,2248.58,1000,773.99,9.92,2,0,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
42,1,1,57,59760.0,1,1,0,0,1,100,0,5.0,31016.36,17797.18,3165.04,500,1459.97,8.42,3,1,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
55,1,0,86,34105.6,1,0,0,0,1,69,0,2.0,10736.03,48844.3,4683.97,2000,1134.08,10.47,6,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
49,0,1,62,62257.6,1,1,0,0,0,14,0,6.0,65059.68,22881.73,5041.96,2000,1304.67,8.95,2,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
27,0,1,69,52723.2,1,0,0,3,0,86,1,7.0,10073.11,19897.24,4045.38,2000,1035.79,8.58,6,0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
53,1,1,92,43515.2,1,0,0,0,1,76,1,3.0,14621.55,23206.45,2961.13,2000,694.45,10.53,5,1,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
38,0,1,70,58177.6,1,1,0,0,0,97,0,5.0,9610.59,51668.9,6294.04,1000,1004.63,8.85,5,0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
68,0,1,66,37552.0,0,1,1,1,1,97,1,7.0,26014.28,19733.71,2439.67,1000,1194.0,9.18,1,1,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
23,0,0,80,150181.0,1,0,1,0,0,99,1,3.0,50337.83,32663.07,1625.78,1000,1248.25,8.58,1,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
43,0,1,88,160162.0,1,0,0,0,0,84,1,5.0,37125.67,33959.3,1694.02,500,1338.54,9.53,5,0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
42,0,1,44,79776.0,1,1,1,0,0,0,1,9.0,63361.03,31320.12,4933.85,1000,1275.81,8.87,1,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
52,0,1,76,63216.0,1,0,0,1,1,41,0,2.0,13881.86,52882.29,3643.98,2000,972.47,7.16,3,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
37,0,1,78,87776.0,1,1,0,0,0,43,1,4.0,38455.02,29864.73,3659.68,500,806.31,8.18,7,0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
52,0,1,69,160162.0,0,0,0,5,0,76,1,4.0,17243.71,45190.15,3760.11,500,947.75,8.79,3,0,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
48,0,1,80,95941.0,0,0,0,1,0,86,0,6.0,12917.26,13553.06,5708.06,2000,1018.73,8.69,6,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
32,0,1,84,55462.4,0,1,1,0,0,90,1,4.0,17289.21,17203.25,5771.84,500,915.29,9.92,9,1,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
45,0,0,41,87776.0,1,1,0,0,0,74,0,4.0,24722.5,50905.86,4486.82,1000,1086.48,10.8,6,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
41,1,1,91,19408.0,1,0,0,0,0,76,0,6.0,25179.98,10762.97,4584.12,2000,765.64,8.89,3,1,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
23,0,1,64,150181.0,1,0,0,0,0,36,1,3.0,23685.5,6219.44,4753.01,2000,1327.41,9.22,3,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
32,0,1,63,55449.6,1,0,1,0,0,32,0,3.0,23000.62,7117.6,3856.53,500,903.32,10.02,4,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
37,1,1,69,57795.2,0,0,0,0,0,58,0,3.0,34134.53,17069.92,8553.75,500,889.13,8.56,3,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
51,1,0,73,150181.0,1,0,1,0,0,32,1,5.0,8302.88,12833.61,4101.35,2000,995.56,10.26,1,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
43,1,0,65,60187.2,0,0,1,0,0,51,0,2.0,4842.46,9882.54,5750.98,500,1379.93,7.54,5,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
30,0,1,89,54400.0,1,0,1,0,0,3,1,3.0,20147.88,22833.78,2272.12,1000,1554.64,8.99,4,1,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
54,0,1,30,163820.8,1,0,1,1,0,24,1,4.0,22710.87,18852.54,3121.38,1000,1377.94,9.43,3,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
48,1,1,52,150181.0,0,1,1,0,0,17,0,6.0,15995.37,19570.05,6269.61,500,1259.02,9.22,6,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
46,1,0,83,95941.0,1,0,1,0,0,0,1,4.0,57172.22,54261.16,4580.85,500,1399.27,8.47,2,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
55,1,1,50,160162.0,1,1,0,0,0,52,1,2.0,26349.4,17093.36,4793.68,500,1365.46,7.7,2,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
45,0,1,82,60912.0,1,1,1,0,1,22,1,6.0,12458.86,11712.66,3567.3,2000,1595.07,9.57,3,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37,1,1,87,57753.6,1,1,0,0,0,90,0,5.0,16338.83,23806.11,5340.63,1000,1127.89,9.37,3,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
40,1,0,71,59014.4,1,1,0,0,0,26,1,6.0,27967.56,40563.95,4797.53,1000,1829.63,8.95,3,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
44,0,1,85,60537.6,0,1,1,2,1,16,1,8.0,22390.59,18074.52,8178.36,1000,904.7,8.35,2,1,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
26,0,0,64,62144.0,1,1,0,1,0,0,1,2.0,17548.47,36526.19,2503.44,500,1216.56,9.2,4,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
48,1,1,91,61924.8,1,0,1,0,1,64,1,6.0,45536.25,37062.59,4732.77,2000,966.26,8.42,6,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
53,1,0,59,160162.0,0,1,1,0,0,52,1,5.0,27627.87,17203.43,3396.36,500,1203.17,9.04,0,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
77,1,1,83,95941.0,1,0,1,0,1,36,1,3.0,45498.18,35390.51,2293.34,2000,1212.12,9.16,6,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
40,0,0,76,59024.0,0,0,0,0,0,72,0,5.0,11666.59,57299.1,3114.88,500,1097.57,10.2,4,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
24,0,1,98,30833.6,0,1,0,1,1,81,0,6.0,14976.49,15994.91,4401.71,500,922.67,8.95,4,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
43,0,0,75,80185.6,1,1,0,1,0,35,0,2.0,15503.99,17054.73,11319.61,500,1195.01,7.32,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
58,0,1,80,64955.2,1,0,0,0,1,28,1,4.0,17627.16,27152.64,11589.08,2000,1102.29,9.08,6,0,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
49,0,0,80,62280.0,0,1,1,3,0,80,1,6.0,12712.57,18364.82,6456.13,500,1527.95,9.11,4,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
49,1,1,58,62254.4,1,1,0,0,0,96,1,3.0,34910.4,28211.04,3648.66,1000,1366.39,10.25,4,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
43,1,1,81,160184.0,1,0,0,2,1,21,1,1.0,17059.55,47036.35,3451.85,1000,1403.9,10.31,3,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
53,0,1,60,30833.6,0,0,0,0,0,32,0,10.0,32348.74,29288.45,4496.82,2000,1554.86,7.76,9,1,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
62,1,0,42,96035.2,1,0,1,0,0,15,1,4.0,23157.79,10789.29,7768.33,2000,1724.46,8.95,2,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
37,0,1,83,57787.2,0,1,0,0,0,89,1,6.0,21344.6,26892.17,7622.25,2000,1241.04,9.19,8,0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
22,0,0,86,149433.6,1,0,1,1,1,43,1,4.0,26475.49,9013.2,5503.95,500,1757.21,9.74,7,0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
63,0,1,67,166299.2,0,1,1,1,1,94,1,4.0,32128.95,27829.58,10465.63,1000,802.24,9.71,4,0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True
45,0,1,71,160883.2,0,0,0,0,0,10,1,2.0,15690.95,53232.69,2123.46,500,1090.03,9.32,5,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
43,1,1,64,60196.8,0,0,1,0,1,78,1,7.0,14256.02,10687.57,966.34,2000,1082.72,10.11,5,0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
29,0,0,55,93876.8,1,0,1,0,0,3,0,5.0,10840.19,20525.8,6503.6,1000,1191.8,8.86,5,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
53,0,1,68,93496.0,1,0,0,0,0,73,0,5.0,42925.06,39407.1,6560.48,2000,1459.93,9.6,8,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
50,1,1,59,80833.6,0,1,0,2,1,32,1,7.0,25435.13,21765.28,4850.01,2000,1398.46,9.93,1,0,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
40,0,1,98,59028.8,0,0,0,0,1,92,0,6.0,7158.68,11873.58,1957.14,2000,1161.91,8.74,5,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
50,1,1,87,62579.2,0,0,1,0,0,91,0,3.0,25263.13,10909.96,2833.54,1000,1117.17,7.82,5,0,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
59,1,1,81,95219.2,0,1,1,3,0,100,1,4.0,19650.85,30113.38,4409.99,1000,1306.78,7.65,3,0,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
40,1,0,59,80833.6,1,1,1,0,0,53,1,6.0,17408.79,25028.08,6007.48,1000,1538.6,9.01,3,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
38,0,1,76,18176.0,1,1,1,1,0,51,1,4.0,27802.0,5550.72,3291.49,1000,1354.5,9.74,5,1,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
26,1,1,44,52115.2,0,0,1,1,1,4,1,5.0,62256.52,28891.32,2121.46,1000,1346.27,8.26,5,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
34,1,0,74,18176.0,0,1,0,1,0,86,1,8.0,12294.59,22973.23,2515.29,1000,949.44,8.55,8,1,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
60,1,0,71,165488.0,0,1,0,0,1,1,0,5.0,5477.84,12035.63,2026.47,2000,977.4,8.78,1,0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True
37,0,1,60,157792.0,1,0,0,2,0,76,1,5.0,15105.37,22205.7,7527.84,500,1187.53,8.03,3,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
60,0,1,95,65515.2,1,1,0,0,1,50,1,7.0,12347.38,17179.1,4345.95,1000,1575.86,7.7,5,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
38,0,1,83,58208.0,1,0,0,0,0,17,1,2.0,23832.43,17320.95,2898.51,1000,1056.71,9.48,4,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
43,0,1,73,60163.2,1,0,1,1,1,95,1,6.0,28342.33,42352.71,6623.07,1000,1313.64,7.96,2,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
50,1,1,69,42620.8,1,0,0,0,0,1,1,6.0,8303.07,18538.45,7762.02,2000,1836.02,8.99,4,1,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
45,0,0,51,60915.2,1,1,1,0,0,51,0,4.0,35498.16,38452.18,2980.46,2000,1453.92,7.98,7,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
34,1,1,69,56414.4,0,0,0,0,0,77,1,4.0,18817.56,13438.93,5540.83,500,914.22,10.28,1,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
32,0,0,85,55459.2,1,1,0,4,0,96,1,6.0,22030.23,30762.89,1755.65,1000,1096.79,9.41,4,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False
43,1,1,81,60171.2,0,0,0,0,0,38,0,5.0,22246.31,40916.69,4186.96,2000,1078.22,8.22,4,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
46,1,1,92,61251.2,1,1,1,0,0,25,0,7.0,34263.51,42173.08,3513.62,2000,1117.42,8.08,6,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
38,0,1,77,58198.4,1,1,1,3,0,79,1,3.0,12088.77,10726.82,5791.7,1000,1152.12,7.55,5,0,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
34,0,1,85,56441.6,1,0,0,0,0,1,0,5.0,5535.51,25486.97,4061.31,1000,1441.21,9.78,9,0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
